,item_name,ori_img,detail_img,sub_title,price,delivery_title,delivery_detail,seller,package_title,package_detail,sell_unit,weight,origin,allergy,info
0,[사미헌] 갈비탕,"https://img-cf.kurly.com/cdn-cgi/image/quality=85,width=676/shop/data/goods/1648206780555l0.jpeg",https://img-cf.kurly.com/shop/data/goodsview/20200803/gv00000111118_1.jpg,진짜 갈비로 우려낸 전통 갈비탕,"12,000",샛별배송,"23시 전 주문 시 내일 아침 7시 전 도착
(대구·부산·울산 샛별배송 운영시간 별도 확인)",컬리,냉동 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,PK,1KG,상품설명/상세정보 참조,"소고기, 밀, 대두 함유",뼈조각이 있을 수 있으니 섭취 시 주의부탁드립니다.
1,[KF365] 양념 소불고기 1kg (냉장),"https://img-cf.kurly.com/cdn-cgi/image/quality=85,width=676/shop/data/goods/165304027922l0.jpg",https://img-cf.kurly.com/shop/data/goodsview/20220217/gv40000281235_1.jpg,"100g당 가격: 1,899원","18,990",샛별배송,"23시 전 주문 시 내일 아침 7시 전 도착
(대구·부산·울산 샛별배송 운영시간 별도 확인)",컬리,냉장 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1개,1Kg,상품설명/상세정보 참조,"- 쇠고기, 대두, 밀 함유
본 제품은 돼지고기, 닭고기, 우유, 계란, 새우, 토마토, 오징어, 조개류(굴,바지락,개량조개)를 사용한 제품과 같은 제조시설에서 제조하고 있습니다.",수령일 포함 최소 3일 남은 제품을 보내 드립니다.
2,[태우한우] 1+ 한우 안심 구이용 200g (냉장),"https://product-image.kurly.com/cdn-cgi/image/quality=85,width=676/product/image/895ea429-0ff7-4c08-b384-6b223696fc88.jpg",https://img-cf.kurly.com/shop/data/goodsview/20200717/gv30000107972_1.jpg,"100g당 가격 : 19,950원","39,000",샛별배송,"23시 전 주문 시 내일 아침 7시 전 도착
(대구·부산·울산 샛별배송 운영시간 별도 확인)",컬리,냉장 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1팩,200g,국내산(한우),"- 소고기 함유
- 이 제품은 돼지고기를 사용한 제품과 같은 제조시설에서 제조하고 있습니다.",포장일로부터 최대 8일 이내 제품을 보내 드립니다.
3,[이연복의 목란] 짬뽕 2인분 (맵기선택),"https://img-cf.kurly.com/cdn-cgi/image/quality=85,width=676/shop/data/goods/1657518987370l0.jpg",https://img-cf.kurly.com/shop/data/goodsview/20220711/gv30000336084_1.jpg,입맛에 맞게 고르는 인기 메뉴,"12,825",샛별배송,"23시 전 주문 시 내일 아침 7시 전 도착
(대구·부산·울산 샛별배송 운영시간 별도 확인)",컬리,냉동 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1팩,1.46kg,상품설명/상세정보 참조,"- 목란 중화면: 밀 함유
- 이 제품은 대두, 메밀, 우유, 알류를 사용한 제품과 같은 제조시설에서 제조하고 있습니다.
- 목란 짬뽕탕 마일드: 오징어, 조개류(굴, 홍합), 쇠고기, 닭고기, 돼지고기, 우유, 대두 밀 함유
- 이 제품은 알류, 메밀, 땅콩, 고등어, 게, 새우, 복숭아, 토마토, 아황산류, 호두, 조개류(전복), 잣을 포함한 제품과 같은 제조시설에서 제조하고 있습니다.
- 목란 짬뽕탕 오리지널: 오징어, 돼지고기, 조개류(굴, 홍합), 닭고기, 쇠고기, 대두, 우유, 밀 함유
- 이 제품은 알류, 메밀, 땅콩, 고등어, 게, 새우, 복숭아, 토마토, 아황산류, 호두, 조개류(전복), 잣을 포함한 제품과 같은 제조시설에서 제조하고 있습니다.",수령일 포함 최소 165일 이상 남은 제품을 보내드립니다.
4,[스윗밸런스] 오늘의 샐러드 10종 (리뉴얼) (택1),"https://img-cf.kurly.com/cdn-cgi/image/quality=85,width=676/shop/data/goods/1655775819130l0.jpg",https://img-cf.kurly.com/shop/data/goodsview/20230303/gv40000497774_1.jpg,다채로운 토핑을 얹은 샐러드,"4,900",샛별배송,"23시 전 주문 시 내일 아침 7시 전 도착
(대구·부산·울산 샛별배송 운영시간 별도 확인)",컬리,냉장 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1통,240g,상품설명/상세정보 참조,"- 쉬림프 에그 샐러드 : 계란, 메추리알, 대두, 밀, 우유, 토마토, 새우, 조개류(굴) 함유 
- 허니 리코타 샐러드 : 복숭아, 우유, 밀, 토마토 함유
- 군고구마 단호박 샐러드 : 계란, 우유, 대두, 밀, 고등어, 토마토, 이산화황 함유 
- 닭가슴살 고구마 샐러드 : 계란, 메추리알, 우유, 대두, 밀, 고등어, 토마토, 닭고기 함유
- 케이준 치킨 샐러드 : 계란, 우유, 대두, 밀, 토마토, 닭고기, 쇠고기 함유
- 푸실리 파스타 샐러드 : 계란, 메추리알, 우유, 대두, 밀, 돼지고기, 토마토, 쇠고기 함유
- 단호박 메쉬 훈제 닭가슴살 샐러드 : 계란, 우유, 대두, 밀, 고등어, 토마토, 닭고기 함유 
- 닭가슴살 리코타 샐러드 : 우유, 대두, 밀, 닭고기 함유 
- 바질 리코타 샐러드 : 우유, 토마토, 이산화황 함유 
- 당근 라페 리코타 샐러드 : 우유, 대두, 밀, 토마토, 이산화황 함유 
* 알레르기 함유 가능성 물질은 상세 페이지 참고",수령일 포함 최소 3일 남은 제품을 보내 드립니다
5,유명산지 설향딸기 500g,"https://img-cf.kurly.com/cdn-cgi/image/quality=85,width=676/shop/data/goods/1608801577622l0.jpg",https://img-cf.kurly.com/shop/data/goodsview/20221128/gv30000457153_1.jpg,유명산지에서 전하는 제철 딸기,"8,990",샛별배송,"23시 전 주문 시 내일 아침 7시 전 도착
(대구·부산·울산 샛별배송 운영시간 별도 확인)",컬리,냉장 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1팩,500g내외,국산,농산물로 별도의 유통기한은 없으나 가급적 빠르게 드시기 바랍니다.,9.2 Brix 이상
6,[브룩클린688] 호주산 목초육 치마살 구이용 300g (냉장),"https://img-cf.kurly.com/cdn-cgi/image/quality=85,width=676/shop/data/goods/165303917855l0.jpeg",https://img-cf.kurly.com/shop/data/goodsview/20220222/gv40000282831_1.jpg,100g 당 5166원,"11,625",샛별배송,"23시 전 주문 시 내일 아침 7시 전 도착
(대구·부산·울산 샛별배송 운영시간 별도 확인)",컬리,냉장 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1팩,300g,호주산,"- 소고기 함유
- 대두, 밀, 돼지고기, 우유, 토마토, 새우, 아황산류, 닭고기, 조개류(굴, 홍합, 전복), 오징어, 잣, 알류, 게, 복숭아, 땅콩, 호두, 고등어, 메밀과 동일 제조시설에서 제조",포장일로부터 최대 4일 이내 제품을 보내 드립니다.
7,[홍대주꾸미] 주꾸미 볶음 300g (냉동),"https://img-cf.kurly.com/cdn-cgi/image/quality=85,width=676/shop/data/goods/1653034699910l0.jpeg",https://img-cf.kurly.com/shop/data/goodsview/20220905/gv20000419782_1.jpg,매콤달콤한 매력의 밥도둑,"6,500",샛별배송,"23시 전 주문 시 내일 아침 7시 전 도착
(대구·부산·울산 샛별배송 운영시간 별도 확인)",컬리,냉동 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1팩,300g,상품설명/상세정보 참조,"- 대두, 밀, 쇠고기, 닭고기, 우유, 조개류(굴) 함유
- 본 제품은 알류, 메밀, 땅콩, 고등어, 게, 새우, 돼지고기, 복숭아, 토마토, 아황산류, 호두, 오징어, 조개류(전복, 홍합 포함), 잣을 사용한 제품과 같은 제조시설에서 제조","출고일 기준, 유통기한 만기 180일 이상 남은 상품을 보내드립니다. (총유통기한 : 365일)"
8,[KF365] DOLE 실속 바나나 1kg (필리핀),"https://img-cf.kurly.com/cdn-cgi/image/quality=85,width=676/shop/data/goods/165303902534l0.jpg",https://img-cf.kurly.com/shop/data/goodsview/20210524/gv00000185852_1.jpg,"믿고 먹을 수 있는 상품을 합리적인 가격에, KF365","3,700",샛별배송,"23시 전 주문 시 내일 아침 7시 전 도착
(대구·부산·울산 샛별배송 운영시간 별도 확인)",컬리,냉장 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1봉,1kg 내외,필리핀,신선식품으로 별도의 유통기한은 없으나 최대한 빠른 섭취 부탁드립니다,"수분이 있는 과일의 특성상 약 3%내외의 중량 차이가 있을 수 있습니다.
사진 상에는 비닐 포장으로 되어있으나, 종이 띠로 포장된 상품을 받아보실 수 있습니다. 재활용이 용이한 포장으로 변경하기 위함으로써, 안의 내용물은 기존과 동일한 바나나임을 안내 드립니다
배송 시기에 따라 원물 껍질, 특히 꼭지 부분에 종종 초록빛이 감돌 수 있어요. 과숙을 방지하고자 덜 익은 웜물 위주로 선별해 보내드리기 때문입니다. 취향에 맞게 후숙시킨 뒤 섭취하세요."
9,[KF365] 유명산지 고당도사과 1.5kg (5~6입),"https://product-image.kurly.com/cdn-cgi/image/quality=85,width=676/product/image/b573ba85-9bfa-433b-bafc-3356b081440b.jpg",https://img-cf.kurly.com/shop/data/goodsview/20220928/gv10000431799_1.jpg,아삭아삭 달콤한 제철과일,"11,900",샛별배송,"23시 전 주문 시 내일 아침 7시 전 도착
(대구·부산·울산 샛별배송 운영시간 별도 확인)",컬리,냉장 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1팩,1.5kg 내외,국산,신선식품이므로 별도의 유통기한은 없으나 가급적 빠르게 드시기 바랍니다.,14.3 Brix 이상
10,[KF365] 1+ 한우 국거리 300g(냉장),"https://img-cf.kurly.com/cdn-cgi/image/quality=85,width=676/shop/data/goods/1645492554545l0.jpg",https://img-cf.kurly.com/shop/data/goodsview/20221018/gv30000436962_1.jpg,"100g당 가격 : 4,967원","11,920",샛별배송,"23시 전 주문 시 내일 아침 7시 전 도착
(대구·부산·울산 샛별배송 운영시간 별도 확인)",컬리,냉장 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1팩,300g,국내산 (한우),"소고기 함유
이 제품은 돼지고기를 사용한 제품과 같은 시설에서 제조하고 있습니다.","출고일 기준, 유통기한 만기 7일 이상 남은 상품을 보내드립니다. (총유통기한 : 15일)"
11,[햇반/쿡반] 노릇노릇 구운 주먹밥 800g 9종 (택1),"https://product-image.kurly.com/cdn-cgi/image/quality=85,width=676/product/image/a6279127-2a63-4416-a9dc-0681cebd3331.jpg",https://img-cf.kurly.com/shop/data/goodsview/20230203/gv40000485108_1.jpg,든든하게 구비하는 노릇한 주먹밥,"12,980",샛별배송,"23시 전 주문 시 내일 아침 7시 전 도착
(대구·부산·울산 샛별배송 운영시간 별도 확인)",컬리,냉동 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1팩,800g(100g*8개),상품설명/상세정보 참조,옵션별 상이. 하단 한글표시사항 참고,비비고 볶음밥이 햇반/쿡반으로 브랜드명을 변경했습니다. 내용물엔 변경이 없는 점 구매에 참고 부탁드립니다.
12,[KF365] 한돈 삼겹살 구이용 600g~ (냉장),"https://img-cf.kurly.com/cdn-cgi/image/quality=85,width=676/shop/data/goods/1637147561308l0.jpg",https://img-cf.kurly.com/shop/data/goodsview/20230222/gv00000495605_1.jpg,"100g 당 판매가 : 2,590원","15,540",샛별배송,"23시 전 주문 시 내일 아침 7시 전 도착
(대구·부산·울산 샛별배송 운영시간 별도 확인)",컬리,냉장 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1팩,"600g / 1,000g",국내산,"-돼지고기 함유
-이 제품은 알레르기 유발 성분(소고기)을 사용한 제품과 같은 제조시설에서 제조하고 있습니다.",수령일 포함 최소 5일 이상 남은 제품을 보내드립니다.
13,[나도하누] 한우 등심 250g (냉장),"https://product-image.kurly.com/cdn-cgi/image/quality=85,width=676/product/image/faf164fa-d527-4372-86b7-90d63f8d1424.jpg",https://img-cf.kurly.com/shop/data/goodsview/20221201/gv30000459845_1.jpg,"100g당 판매가 : 8,760원 (쿠폰 적용가)","21,900",샛별배송,"23시 전 주문 시 내일 아침 7시 전 도착
(대구·부산·울산 샛별배송 운영시간 별도 확인)",컬리,냉장 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1팩,250g,상품설명/상세정보 참조,"쇠고기 함유
이 제품은 돼지고기를 사용한 제품과 같은 제조시설에서 제조하고 있습니다.",포장일로부터 최소 5일 이내 제품을 보내드립니다.
14,[Kurly's] 동물복지 유정란 20구,"https://img-cf.kurly.com/cdn-cgi/image/quality=85,width=676/shop/data/goods/1653036825212l0.jpeg",https://img-cf.kurly.com/shop/data/goodsview/20220528/gv20000321118_1.jpg,1구 당 판매가: 499.5원,"9,290",샛별배송,"23시 전 주문 시 내일 아침 7시 전 도착
(대구·부산·울산 샛별배송 운영시간 별도 확인)",컬리,냉장 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1팩,20구,국내산,-달걀 함유,"출고일 기준, 산란일로부터 10일 이내 상품을 배송해드립니다.(총 유통기한 : 산란일로부터 30일)"
15,[미자언니네] 꽃게 액젓 2종 (택1),"https://product-image.kurly.com/cdn-cgi/image/quality=85,width=676/product/image/d59df01e-45d0-4f1e-9cc7-b7bad1110662.jpg",https://img-cf.kurly.com/shop/data/goodsview/20221121/gv10000454324_1.jpg,요리의 완성도를 올리는 한 수,"11,000",샛별배송,"23시 전 주문 시 내일 아침 7시 전 도착
(대구·부산·울산 샛별배송 운영시간 별도 확인)",컬리,상온 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1개,옵션별 상이,상품설명/상세정보 참조,"- 대두, 밀, 새우, 게 함유
- 토마토, 오징어, 조개류(홍합), 쇠고기 혼입가능",수령일 포함 최소 145일 남은 제품을 보내 드립니다
16,땅끝 해남 쌀 10kg,"https://img-cf.kurly.com/cdn-cgi/image/quality=85,width=676/shop/data/goods/1640675139675l0.jpg",https://img-cf.kurly.com/shop/data/goodsview/20211228/gv40000262743_1.jpg,해남에서 온 건강한 밥맛,"29,900",샛별배송,"23시 전 주문 시 내일 아침 7시 전 도착
(대구·부산·울산 샛별배송 운영시간 별도 확인)",컬리,냉장 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1포대,10kg,국산,신선식품으로 별도의 유통기한은 없습니다.,"상품의 특성상 상품의 중량의 3% 내외의 차이가 발생할 수 있습니다.
22년산 입니다."
17,[연안식당] 부추 꼬막 비빔장,"https://img-cf.kurly.com/cdn-cgi/image/quality=85,width=676/shop/data/goods/1653441921826l0.jpg",https://img-cf.kurly.com/shop/data/goodsview/20220629/gv30000331996_1.jpg,간단하게 완성하는 맛집의 대표 메뉴,"6,400",샛별배송,"23시 전 주문 시 내일 아침 7시 전 도착
(대구·부산·울산 샛별배송 운영시간 별도 확인)",컬리,냉동 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1통,150g,상품설명/상세정보 참조,"- 우유, 대두, 밀, 쇠고기, 조개류(굴, 꼬막) 함유
- 이 제품은 알류, 메밀, 땅콩, 고등어, 새우, 게, 돼지고기, 복숭아, 토마토, 아황산류. 호두, 닭고기, 오징어, 조개류(전복, 홍합), 잣을 사용한 제품과 같은 제조시설에서 제조",수령일 포함 최소 180일 남은 제품을 보내 드립니다 (총 유통기한 365일)
18,[녹색한우] 무항생제 1+ 한우 양지 국거리용 200g (냉동),"https://product-image.kurly.com/cdn-cgi/image/quality=85,width=676/product/image/29cff54c-7f71-41f1-8ef6-5bf14b1c289b.jpg",https://img-cf.kurly.com/shop/data/goodsview/20230302/gv10000497475_1.jpg,"100g당 판매가 : 6,450원","12,900",샛별배송,"23시 전 주문 시 내일 아침 7시 전 도착
(대구·부산·울산 샛별배송 운영시간 별도 확인)",컬리,냉동 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1팩,200g,국내산 (한우),소고기 함유,"이력번호가 표시된 제품이며, 이력번호는 수령하시는 상품 패키지에서 확인 가능합니다."
19,[귤림원] 당도선별 GAP 하우스 감귤 1kg,"https://img-cf.kurly.com/cdn-cgi/image/quality=85,width=676/shop/data/goods/1653038898692l0.jpeg",https://img-cf.kurly.com/shop/data/goodsview/20220516/gv10000315751_1.jpg,기분 좋은 주황빛 달콤함,"9,900",샛별배송,"23시 전 주문 시 내일 아침 7시 전 도착
(대구·부산·울산 샛별배송 운영시간 별도 확인)",컬리,냉장 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1팩,1kg,국산,농산물이므로 별도의 유통기한은 없으나 가급적 빠르게 드시기 바랍니다.,12 Brix 이상
